pokemon_id,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,stage,legendary,power_score
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,145
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,2,False,235
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,200
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,2,False,245
76,Golem,Rock,Ground,495,80,120,130,55,65,45,3,False,295
77,Ponyta,Fire,None,410,50,85,55,65,65,90,1,False,230
78,Rapidash,Fire,None,500,65,100,70,80,80,105,2,False,275
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,145
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,2,False,215
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,150
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,2,False,225
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,180
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,205
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,2,False,280
86,Seel,Water,None,325,65,45,55,45,70,45,1,False,145
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,2,False,220
88,Grimer,Poison,None,325,80,80,50,40,50,25,1,False,155
89,Muk,Poison,None,500,105,105,75,65,100,50,2,False,230
90,Shellder,Water,None,305,30,65,100,45,25,40,1,False,205
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,2,False,345
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,145
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,2,False,190
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,3,False,235
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,275
96,Drowzee,Psychic,None,328,60,48,45,43,90,42,1,False,135
97,Hypno,Psychic,None,483,85,73,70,73,115,67,2,False,210
98,Krabby,Water,None,325,30,105,90,25,25,50,1,False,245
99,Kingler,Water,None,475,55,130,115,50,50,75,2,False,320
100,Voltorb,Electric,None,330,40,30,50,55,55,100,1,False,180
101,Electrode,Electric,None,480,60,50,70,80,80,140,2,False,260
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,160
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,2,False,235
104,Cubone,Ground,None,320,50,50,95,40,50,35,1,False,180
105,Marowak,Ground,None,425,60,80,110,50,80,45,2,False,235
106,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,1,False,260
107,Hitmonchan,Fighting,None,455,50,105,79,35,110,76,1,False,260
108,Lickitung,Normal,None,385,90,55,75,60,75,30,1,False,160
109,Koffing,Poison,None,340,40,65,95,60,45,35,1,False,195
110,Weezing,Poison,None,490,65,90,120,85,70,60,2,False,270
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,205
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,2,False,290
113,Chansey,Normal,None,450,250,5,5,35,105,50,1,False,60
114,Tangela,Grass,None,435,65,55,115,100,40,60,1,False,230
115,Kangaskhan,Normal,None,490,105,95,80,40,80,90,1,False,265
116,Horsea,Water,None,295,30,40,70,70,25,60,1,False,170
117,Seadra,Water,None,440,55,65,95,95,45,85,2,False,245
118,Goldeen,Water,None,320,45,67,60,35,50,63,1,False,190
119,Seaking,Water,None,450,80,92,65,65,80,68,2,False,225
120,Staryu,Water,None,340,30,45,55,70,55,85,1,False,185
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,2,False,275
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,200
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,295
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,180
125,Electabuzz,Electric,None,490,65,83,57,95,85,105,1,False,245
126,Magmar,Fire,None,495,65,95,57,100,85,93,1,False,245
127,Pinsir,Bug,None,500,65,125,100,55,70,85,1,False,310
128,Tauros,Normal,None,490,75,100,95,40,70,110,1,False,305
129,Magikarp,Water,None,200,20,10,55,15,20,80,1,False,145
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,2,False,285
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,225
132,Ditto,Normal,None,288,48,48,48,48,48,48,1,False,144
133,Eevee,Normal,None,325,55,55,50,45,65,55,1,False,160
134,Vaporeon,Water,None,525,130,65,60,110,95,65,2,False,190
135,Jolteon,Electric,None,525,65,65,60,110,95,130,2,False,255
136,Flareon,Fire,None,525,65,130,60,95,110,65,2,False,255
137,Porygon,Normal,None,395,65,60,70,85,75,40,1,False,170
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,175
139,Omastar,Rock,Water,495,70,60,125,115,70,55,2,False,240
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,225
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,2,False,300
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,300
143,Snorlax,Normal,None,540,160,110,65,65,110,30,1,False,205
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,270
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,275
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,280
147,Dratini,Dragon,None,300,41,64,45,50,50,50,1,False,159
148,Dragonair,Dragon,None,420,61,84,65,70,70,70,2,False,219
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,3,False,309
150,Mewtwo,Psychic,None,680,106,110,90,154,90,130,1,True,330
151,Mew,Psychic,None,600,100,100,100,100,100,100,1,False,300
